iso2c,iso3c,year,electricity_access,alternative_energy,electricity_consumption,energy_imports,energy_intensity,energy_use,fossil_fuel_consumption,fuel_exports,energy_unit_use_gdp,energy_investment_private,ores_metal_exports,renewable_electricity_output,renewable_energy_consumption,time_electricity,resources_rents,electricity_access_ru,electricity_access_ur
AF,AFG,2000,1.61359095573425,,,,1.64,,,,,,,74.9890940817217,44.99,,,,72.1334686279297
AF,AFG,2001,4.07457399368286,,,,1.74,,,,,,,72.8114599913182,45.6,,,,73.5990371704102
AF,AFG,2002,9.40915775299072,,,,1.4,,,,,,,79.0639711991138,37.83,,1.02495846430441,,75.0632781982422
AF,AFG,2003,14.7385063171387,,,,1.4,,,,,1580000,,70.2497285559175,36.66,,0.710719563574439,,76.5331344604492
AF,AFG,2004,20.0649681091309,,,,1.2,,,,,,,70.8908406524467,44.24,,0.440392700723078,3.24060392379761,78.0155563354492
AF,AFG,2005,25.3908939361572,,,,1.41,,,,,,,74.0618101545254,33.88,,0.382005712101864,11.1138515472412,74
AF,AFG,2006,30.7186908721924,,,,1.5,,,,,,,70.7557502738226,31.89,,0.502551364296606,15.7653656005859,81.0437698364258
AF,AFG,2007,36.0510101318359,,,,1.53,,,,,,,72,28.78,,0.449303643130256,22.0606784820557,82.5908203125
AF,AFG,2008,42.4000015258789,,,,1.94,,,,,,,68.6548223350254,21.17,,0.610294177638057,27.9542503356934,89.9000015258789
AF,AFG,2009,46.7400512695313,,,,2.25,,,,,,0.137976802486954,87.1766029246344,16.53,424,0.417277439783824,34.7457847595215,85.7244720458984
AF,AFG,2010,42.7000007629395,,,,2.46,,,,,,0.275244541510738,85.9865470852018,15.15,196,0.612644869553199,30.2187995910645,82.8000030517578
AF,AFG,2011,43.2220191955566,,,,3.23,,,,,,0.305786388425507,82.4875621890547,12.61,114,0.877758007315028,29.5728797912598,86.5677795410156
AF,AFG,2012,69.0999984741211,,,,2.61,,,,,,,85.9099804305284,15.36,114,0.706844302093614,60.8491554260254,95
AF,AFG,2013,68.2906494140625,,,,2.46,,,,,,,78.6364080993837,16.86,114,0.558013470595918,60.5661354064941,92.2590484619141
AF,AFG,2014,89.5,,,,2.25,,,,,,,85.3235490326885,18.93,114,0.544465179629164,86.5005111694336,98.6999969482422
AF,AFG,2015,71.5,,,,2.37,,,3.45045583056684,,,1.06525272819338,86.0501112508465,17.53,114,0.514492082955642,64.573356628418,92.5
AF,AFG,2016,97.6999969482422,,,,2.24,,,,,,1.12452208638717,,19.92,114,0.627717584970134,97.0993576049805,99.5
AF,AFG,2017,97.6999969482422,,,,2.3,,,5.23442813305688,,1.9e+07,0.83809143240314,,19.21,114,0.719338940458301,97.0919723510742,99.5
AF,AFG,2018,96.6161346435547,,,,2.44,,,10.2131805125,,,1.20988438299409,,17.96,114,0.891281199402031,95.5861740112305,99.6260223388672
AF,AFG,2019,97.6999969482422,,,,2.41,,,8.0512789669382,,190490000,2.19992094192385,,18.51,114,0.692528088004276,97.0756301879883,99.5
AF,AFG,2020,97.6999969482422,,,,,,,,,,,,,,0.653621702792632,97.0667114257813,99.5
ZH,AFE,2000,19.8112830487474,2.45966723349498,780.702623963529,-31.3910700728529,,733.421541788003,46.9472517429038,9.25855714577765,4.54356780700759,,11.3133195108096,15.9837375193401,65.1287964947688,,6.23500663556721,8.46941774137619,53.5631958665735
ZH,AFE,2001,19.9005689869631,2.28811167229553,743.916043970902,-29.1363228434745,,738.822492531853,47.4357459507557,9.41700376941651,4.56335869178511,,19.8438057233785,17.5841680969321,65.5867725249558,,6.49222313265932,,53.1502241515521
ZH,AFE,2002,21.5258119502625,2.50964538189884,769.080854071567,-32.9108840507047,,726.210303048516,46.1952181233608,10.2586355059809,4.7162487353032,,12.8714839439035,18.0356373929627,64.6227793357533,,6.91085154880706,,55.300428596703
ZH,AFE,2003,22.474309042094,2.60489634409284,774.334166181245,-32.4199943225502,,739.607835097683,47.2717785407109,9.5544087833447,4.65383941696953,,17.7012185330208,16.930335047973,64.165735015468,,6.55298341674326,9.69717147952823,56.2533540580982
ZH,AFE,2004,23.7819183655274,2.59333159360834,777.672090685718,-31.1618160686318,,756.945359622382,48.8620583293628,8.05887913918278,4.68521703348926,,19.6742313126307,16.9447767853524,63.2792919205907,,8.11746177784376,10.9191631310557,57.02329381506
ZH,AFE,2005,23.4874149559786,2.40864587303125,780.851052287502,-35.9394233025396,,748.030663760704,48.6069666946122,9.72718870364484,4.91860045993627,,20.595251405437,17.6912731556032,62.5871644245118,,9.0441226373191,10.3856959911963,58.1189477258276
ZH,AFE,2006,24.7635379213968,2.40336637436725,789.4878404605,-38.8057893242221,,742.246409543133,48.2443932141172,10.159963302837,5.15216579683781,,25.5331422429342,18.4729239384687,62.3014712629603,,10.2563010231196,12.4237103722527,58.6849831297985
ZH,AFE,2007,26.7665177602956,2.39325615655846,796.901935655247,-41.694275482213,,755.764359885741,49.5511715569521,27.0902365960959,5.26709336315354,,22.2729820361854,18.1734689606324,61.5025332436505,,12.0950663008396,12.4314124748954,60.8519315406308
ZH,AFE,2008,25.9341794754403,2.43185663961613,760.576897141733,-40.0256390924859,,780.17236984834,50.8885624008154,8.76787322850529,5.18792529358046,,26.1809055611134,18.2886424947058,61.9770188445779,,18.3454151829506,12.8889669527945,59.0040075810343
ZH,AFE,2009,26.1815567981524,2.42020104932077,723.914903111308,-38.314270953454,,766.243658016489,49.8828729702859,27.450836334191,5.17544004273234,,20.327065666052,19.7553384730423,61.321536204168,143.75,9.86273960520483,15.3410019509463,61.3567009309608
ZH,AFE,2010,27.5571371356059,2.5049351399906,740.41765510513,-38.2841587171351,,755.371018311124,49.0353285938329,27.1242388045609,5.38299834843362,,21.6501108296214,21.1629993280905,62.7477565255273,129.875,11.8233414782973,14.5771747974348,63.246747297561
ZH,AFE,2011,29.0898268292514,2.62405505855032,740.741605692739,-34.6227253100243,,749.402187738062,48.303862388358,27.8378190758285,5.48581750081348,,21.8439190257478,21.3237793496936,62.5731453801498,134.208333333333,14.0167523410074,16.2227942492604,66.1639979918476
ZH,AFE,2012,31.8443844038242,2.55814702107479,703.908400908733,-32.2449915534232,,728.721221633136,47.5724129880436,27.5501259738633,5.49630480759872,,20.1034347424776,21.795825040308,61.0810940037446,144.16,11.2458840966918,19.4025915257459,66.9452771502516
ZH,AFE,2013,31.794159992766,2.76334286724056,698.369914215573,-32.0350067306814,,725.668196097785,46.8951802323023,26.2826286782356,5.60143280696748,,20.3369363511051,22.7326039395982,60.378305493904,142.6,10.7865003293621,18.6635016376268,67.1122062807782
ZH,AFE,2014,32.001026781227,2.58483109207052,686.728057221492,-31.655426118373,,740.766342797557,49.3042920878981,26.7396652093709,5.66976156265886,,19.7953098621187,24.9665894302136,60.7122920025609,138.76,9.24146992174508,17.6339864137494,66.2834263727233
ZH,AFE,2015,33.8719104646129,,,,,,,24.3858110075649,,,20.5057409987956,25.6758787545077,61.1063974749704,113.95652173913,6.21050369800859,16.4646807920084,67.0802345160891
ZH,AFE,2016,38.8801732244203,,,,,,,23.9902714057783,,,19.1258918601618,,,109.826086956522,6.57952423433111,24.5314360859943,69.1322924194883
ZH,AFE,2017,40.261357595893,,,,,,,25.5617179326135,,,19.6730534800183,,,106.521739130435,7.18117642873538,25.3451111513968,70.9285671571016
ZH,AFE,2018,43.061876950924,,,,,,,24.5718118312068,,,20.0027280217732,,,105.565217391304,6.82351321860303,27.449907671217,71.8661360685467
ZH,AFE,2019,44.2708604789338,,,,,,,24.8499644967587,,,22.2304611376221,,,104,6.41047395759788,29.641760454315,73.3328420364472
ZH,AFE,2020,45.8034852293869,,,,,,,6.34702083197835,,,29.6422386203297,,,,6.32712890008367,30.4049349446892,73.9429490467264
ZI,AFW,2000,34.1506868375937,1.03928404277059,116.708797674533,-120.542230544576,,548.181051904747,20.8568629413287,64.2825645326027,5.41785816542117,,4.10463183183,52.858872916918,83.2693428910981,,17.2521482630755,16.5299416675341,71.5441277137618
ZI,AFW,2001,35.2664611200848,0.983827779943254,119.051132657931,-118.271194270096,,555.91173464434,21.9965404800643,62.8924045808753,5.43844162534552,,4.18437841299906,51.3235586107454,82.0167959686272,,12.1519262813374,16.0853573642478,72.2926313152151
ZI,AFW,2002,35.7619670291462,0.970337584617454,133.754417025317,-98.8353015531815,,560.27433813377,22.2330951819879,65.7572568417322,5.77486864993512,,3.43288330776563,46.2630897039256,81.6468164159427,,10.7420343207051,15.7748366029401,72.2865548248067
ZI,AFW,2003,39.8762372875299,0.862663853288765,123.896644002658,-108.572204532582,,570.382439214674,23.285903357397,61.6800349603521,5.82667553020762,,2.1831163623974,45.4518842512965,80.5619220100399,,11.6800932052416,21.4445235947451,73.2778408988392
ZI,AFW,2004,37.5459599039409,0.931576548449471,138.89376400484,-111.508331410797,,578.107912796889,22.5779787475038,,6.12212995126534,,,45.6484278898403,81.1515950458396,,14.2295067073028,16.7431092032525,73.2440327139172
ZI,AFW,2005,37.8470361622623,0.92415755811999,145.325050645412,-108.528980959958,,585.191024218262,22.6761490939365,,6.21770124134935,,,44.0933350488018,81.0675281849808,,18.7213040703387,17.6032695036374,73.93656190318
ZI,AFW,2006,39.8365592945576,0.837738549227517,144.984986551172,-106.886549470491,,578.678601469874,21.3347518801467,66.2847951150019,6.44823147453309,,2.36055598689792,40.8432102037739,81.8890305537577,,17.6232911171615,17.8572979993979,74.5985085976342
ZI,AFW,2007,40.7887788535868,0.799719597752703,158.419737848654,-99.3167630018817,,583.570930281778,20.6740770300019,63.1488662276433,6.5724649633258,,3.67154745972618,36.9362892156229,82.1553703587109,,16.521054858273,17.739414209312,76.1895725657689
ZI,AFW,2008,41.7446576260947,0.894147544329085,154.500732362673,-91.9476520844552,,585.933019164169,21.4087821151267,60.8761763737068,6.60891143562899,,3.61215215798028,41.7271714184477,81.5273717253076,,18.8542859019368,19.5179474609382,75.6117025293371
ZI,AFW,2009,41.8168606925896,0.857032448736112,152.778423214495,-88.7090224519418,,571.800006978943,19.9887736072996,60.0734079060094,7.02510407443388,,1.90941346900361,41.5502121232493,82.5663290957529,174.333333333333,11.7173662399796,18.7720675415756,75.4412937624052
ZI,AFW,2010,41.7998579561914,0.83869769852757,165.065620870937,-95.4026024535284,,596.785227772781,21.9468785991727,56.3951734987471,7.03109841112049,,2.55108138412843,38.5470844098241,80.9263475147367,154.285714285714,14.8875542007915,20.5337650619679,74.2651396592585
ZI,AFW,2011,45.9114739780796,0.853197011825129,175.112546300155,-90.7796926149948,,610.016077182942,22.6105061264302,60.2403386959087,7.02622773408037,,1.87180130103377,37.7036499888252,79.508850174699,145.52380952381,19.0099773451462,22.3382509050753,79.3852167005569
