FREQ,REF_AREA,COMMODITY,TRANSACTION,UNIT_MEASURE,obsTime,obsValue,UNIT_MULT,OBS_STATUS
A,004,EC,13321,MW,2000,350,0,E
A,004,EC,13321,MW,2001,376,0,A
A,004,EC,13321,MW,2002,369,0,A
A,004,EC,13321,MW,2003,367,0,E
A,004,EC,13321,MW,2004,247,0,E
A,004,EC,13321,MW,2005,247,0,E
A,004,EC,13321,MW,2006,247,0,E
A,004,EC,13321,MW,2007,247,0,E
A,004,EC,13321,MW,2008,247,0,A
A,004,EC,13321,MW,2009,247,0,E
A,004,EC,13321,MW,2010,247,0,E
A,004,EC,13321,MW,2011,189,0,A
A,004,EC,13321,MW,2012,189,0,A
A,004,EC,13321,MW,2013,189,0,E
A,004,EC,13321,MW,2014,189,0,E
A,004,EC,13321,MW,2015,254,0,A
A,004,EC,13321,MW,2016,254,0,E
A,004,EC,13321,MW,2017,254,0,E
A,004,EC,13321,MW,2018,254,0,E
A,004,EC,13321,MW,2019,254,0,E
A,004,EC,13321,MW,2020,254,0,E
A,004,EC,13322,MW,2000,7,0,E
A,004,EC,13322,MW,2001,7,0,E
A,004,EC,13322,MW,2002,7,0,E
A,004,EC,13322,MW,2003,7,0,E
A,004,EC,13322,MW,2004,127,0,E
A,004,EC,13322,MW,2005,127,0,E
A,004,EC,13322,MW,2006,127,0,E
A,004,EC,13322,MW,2007,127,0,E
A,004,EC,13322,MW,2008,127,0,A
A,004,EC,13322,MW,2009,127,0,E
A,004,EC,13322,MW,2010,127,0,E
A,004,EC,13322,MW,2011,127,0,A
A,004,EC,13322,MW,2012,127,0,A
A,004,EC,13322,MW,2013,127,0,E
A,004,EC,13322,MW,2014,127,0,E
A,004,EC,13322,MW,2015,130,0,E
A,004,EC,13322,MW,2016,130,0,E
A,004,EC,13322,MW,2017,130,0,E
A,004,EC,13322,MW,2018,130,0,E
A,004,EC,13322,MW,2019,130,0,E
A,004,EC,13322,MW,2020,130,0,E
A,004,EC,13341,MW,2000,60,0,E
A,004,EC,13341,MW,2001,60,0,E
A,004,EC,13341,MW,2002,60,0,E
A,004,EC,13341,MW,2003,60,0,E
A,004,EC,13341,MW,2004,60,0,E
A,004,EC,13341,MW,2005,60,0,E
A,004,EC,13341,MW,2006,60,0,E
A,004,EC,13341,MW,2007,60,0,E
A,004,EC,13341,MW,2008,60,0,A
A,004,EC,13341,MW,2009,60,0,A
A,004,EC,13341,MW,2010,60,0,A
A,004,EC,13341,MW,2011,60,0,A
A,004,EC,13341,MW,2012,60,0,A
A,004,EC,13341,MW,2013,60,0,E
A,004,EC,13341,MW,2014,60,0,E
A,004,EC,13341,MW,2015,70,0,E
A,004,EC,13341,MW,2016,70,0,E
A,004,EC,13341,MW,2017,70,0,E
A,004,EC,13341,MW,2018,70,0,E
A,004,EC,13341,MW,2019,70,0,E
A,004,EC,13341,MW,2020,70,0,E
A,004,EC,13342,MW,2000,55,0,E
A,004,EC,13342,MW,2001,55,0,E
A,004,EC,13342,MW,2002,55,0,E
A,004,EC,13342,MW,2003,55,0,E
A,004,EC,13342,MW,2004,55,0,E
A,004,EC,13342,MW,2005,55,0,E
A,004,EC,13342,MW,2006,55,0,E
A,004,EC,13342,MW,2007,55,0,E
A,004,EC,13342,MW,2008,55,0,A
A,004,EC,13342,MW,2009,55,0,A
A,004,EC,13342,MW,2010,55,0,A
A,004,EC,13342,MW,2011,55,0,A
A,004,EC,13342,MW,2012,55,0,A
A,004,EC,13342,MW,2013,55,0,E
A,004,EC,13342,MW,2014,55,0,E
A,004,EC,13342,MW,2015,65,0,A
A,004,EC,13342,MW,2016,65,0,E
A,004,EC,13342,MW,2017,65,0,E
A,004,EC,13342,MW,2018,65,0,E
A,004,EC,13342,MW,2019,65,0,E
A,004,EC,13342,MW,2020,65,0,E
A,008,EC,13321,MW,2000,1446,0,A
A,008,EC,13321,MW,2001,1445,0,A
A,008,EC,13321,MW,2002,1445,0,A
A,008,EC,13321,MW,2003,1445,0,A
A,008,EC,13321,MW,2004,1445,0,A
A,008,EC,13321,MW,2005,1432,0,A
A,008,EC,13321,MW,2006,1432,0,A
A,008,EC,13321,MW,2007,1432,0,A
A,008,EC,13321,MW,2008,1553,0,A
A,008,EC,13321,MW,2009,1460,0,A
A,008,EC,13321,MW,2010,1476,0,A
A,008,EC,13321,MW,2011,1476,0,A
A,008,EC,13321,MW,2012,1629,0,A
A,008,EC,13321,MW,2013,1781,0,A
A,008,EC,13321,MW,2014,1726,0,A
A,008,EC,13321,MW,2015,1799,0,A
A,008,EC,13321,MW,2016,1801,0,A
A,008,EC,13321,MW,2017,2048,0,A
A,008,EC,13321,MW,2018,2105,0,A
A,008,EC,13321,MW,2019,2223.231,0,A
A,008,EC,13321,MW,2020,2260,0,A
A,008,EC,13341,MW,2000,224,0,A
A,008,EC,13341,MW,2001,224,0,A
A,008,EC,13341,MW,2002,224,0,A
A,008,EC,13341,MW,2003,224,0,A
A,008,EC,13341,MW,2004,224,0,A
A,008,EC,13341,MW,2005,160,0,A
A,008,EC,13341,MW,2006,160,0,A
A,008,EC,13341,MW,2007,160,0,A
A,008,EC,13341,MW,2008,98,0,A
A,008,EC,13341,MW,2009,98,0,A
A,008,EC,13341,MW,2010,98,0,A
A,008,EC,13341,MW,2011,98,0,A
A,008,EC,13341,MW,2012,98,0,A
A,008,EC,13341,MW,2013,98,0,A
A,008,EC,13341,MW,2014,98,0,A
A,008,EC,13341,MW,2015,98,0,A
A,008,EC,13341,MW,2016,98,0,E
A,008,EC,13341,MW,2017,98,0,A
A,008,EC,13341,MW,2018,98,0,A
A,008,EC,13341,MW,2019,98,0,A
A,008,EC,13341,MW,2020,98,0,A
A,008,EC,13342,MW,2008,25,0,A
A,008,EC,13342,MW,2009,25,0,A
A,008,EC,13342,MW,2010,25,0,A
A,008,EC,13342,MW,2011,25,0,A
A,008,EC,13342,MW,2012,25,0,A
A,008,EC,13342,MW,2013,25,0,A
A,008,EC,13342,MW,2014,25,0,A
A,008,EC,13342,MW,2015,25,0,E
A,008,EC,13342,MW,2016,25,0,E
A,008,EC,13342,MW,2017,25,0,A
A,008,EC,13342,MW,2018,25,0,A
A,008,EC,13342,MW,2019,25,0,A
A,008,EC,13342,MW,2020,25,0,A
A,008,EC,13ST1,MW,2008,12.3,0,A
A,008,EC,13ST1,MW,2009,13.5,0,A
A,008,EC,13ST1,MW,2010,13.9,0,A
A,008,EC,13ST1,MW,2011,14.4,0,A
A,008,EC,13ST1,MW,2012,14.8,0,A
A,008,EC,13ST1,MW,2013,14.1,0,A
A,008,EC,13ST1,MW,2014,16,0,A
A,012,EC,13321,MW,2000,275,0,A
A,012,EC,13321,MW,2001,275,0,A
A,012,EC,13321,MW,2002,275,0,A
A,012,EC,13321,MW,2003,275,0,A
A,012,EC,13321,MW,2004,275,0,A
A,012,EC,13321,MW,2005,275,0,A
A,012,EC,13321,MW,2006,275,0,A
A,012,EC,13321,MW,2007,275,0,A
A,012,EC,13321,MW,2008,280,0,A
A,012,EC,13321,MW,2009,275,0,A
A,012,EC,13321,MW,2010,275,0,A
A,012,EC,13321,MW,2011,228,0,A
A,012,EC,13321,MW,2012,228,0,A
A,012,EC,13321,MW,2013,228,0,A
A,012,EC,13321,MW,2014,227.6,0,A
A,012,EC,13321,MW,2015,227.6,0,A
A,012,EC,13321,MW,2016,227.6,0,A
A,012,EC,13321,MW,2017,228,0,A
A,012,EC,13321,MW,2018,228,0,A
A,012,EC,13321,MW,2019,228,0,A
A,012,EC,13341,MW,2000,5632,0,A
A,012,EC,13341,MW,2001,5628,0,A
A,012,EC,13341,MW,2002,6063,0,A
A,012,EC,13341,MW,2003,6186,0,A
A,012,EC,13341,MW,2004,6479,0,A
A,012,EC,13341,MW,2005,7217,0,A
A,012,EC,13341,MW,2006,7631,0,A
A,012,EC,13341,MW,2007,8136,0,A
A,012,EC,13341,MW,2008,8223,0,A
A,012,EC,13341,MW,2009,11050,0,A
A,012,EC,13341,MW,2010,11207,0,A
A,012,EC,13341,MW,2011,9111,0,A
A,012,EC,13341,MW,2012,9470,0,A
A,012,EC,13341,MW,2013,10556,0,A
A,012,EC,13341,MW,2014,11657,0,E
A,012,EC,13341,MW,2015,12647,0,A
A,012,EC,13341,MW,2016,14235,0,A
A,012,EC,13341,MW,2017,14578,0,A
A,012,EC,13341,MW,2018,14401,0,A
A,012,EC,13341,MW,2019,14400,0,E
A,012,EC,13342,MW,2000,492,0,A
A,012,EC,13342,MW,2001,492,0,A
A,012,EC,13342,MW,2002,492,0,A
A,012,EC,13342,MW,2003,379,0,A
A,012,EC,13342,MW,2004,492,0,A
